"id_com","id_membre","id_contenu","id_type","commentaire","abonner_fil","statut","pseudo_v1","date_post"
"21305","0","46813","1","Super cet article je vais essayer cette nouvelle activité dans la piscine. j'aime beaucoup l'aquabike!","0","1",NULL,"2013-03-28 12:52:18"
"21306","0","2288","1","bonjour Nathalie, j'ai le don de lire dans les cartes et j'aimerais savoir si c'est possible de ce rencontrer car j'ai envie de l'approfondir.merci ","1","1",NULL,"2013-03-28 17:26:47"
"21308","0","2710","1","Je suis d'accord, avec se que vous dites,moi je suis pour une marge large à gauche et étroite à droite, le texte commençant assez bas au-dessous de la date","0","1",NULL,"2013-03-28 19:29:28"
"21309","0","2710","1","Je fais les u et les n pareils","1","1",NULL,"2013-03-28 19:32:16"
"21312","0","447880","1","J'adore. Une bonne combinaison et une série et la soirée est gagnée!http://blog-mode.derhy.com/","0","1",NULL,"2013-03-29 11:12:35"
"21313","0","46816","1","J'adore. Une bonne combinaison et une série et la soirée est gagnée! http://blog-mode.derhy.com/","0","1",NULL,"2013-03-29 12:02:18"
"21314","0","46784","1","Bonjour, je ne trouve pas le résultat.Qui est la gagnante ??Merci","0","1",NULL,"2013-03-29 12:48:31"
"21319","0","46817","1","elle est tres jolie la fille","0","1",NULL,"2013-03-29 16:49:23"
"21320","0","46816","1","Salut !Très bon article sur la combi. J'ahbite actuellement à Shanghai et je peux vous dire que ça fait fureur en Chine c'est truc là. Petit extra : les chinois(e)s les portent dans la rue avec des chaussons, mais les grenouillères sont encore plus stylées, en forme de lion, pikachu, crocodile etc... C'est extra, mais pas très classe !Bisous.http://lamodeselonjustine.overblog.com/ ","0","1",NULL,"2013-03-30 11:15:50"
"21321","0","408","1","bonjour tout le monde moi je sais plus quoi fair avec ma mere depuis la mort de mon pere il y a 15 ans elle a une emprise sur moi  jai 27ans aujourd hui elle na toujours pas compris que ma vie m apartien je suis en menage depuis 5ans elle viens tout le temps cher moi me arcelle au tel pour parler des gans de la famille ou  sur son compagnion elle aime toujour decause tout monde quand je dit stop elle monte dans des colere et m insulte de grosse que je sais pas m habille ni decore mon interieure elle aime me vexee tout temps maintenen elle s ataque a mon compagnion elle veux me mettre dans la tete que je suis malheureuse  avce que j etais plus heureuse chez elle je vie un enfer elle ne ma jamai aider et si elle le fait 2mois c est des reproches tout le temps elle deteste les parent de mon copain qui nous aide beaucoups et son toujours la pour leur fils elle dit que ma belle famille me manipule et quand je veux lui explique  elle n est pas daccor hurle et minjure je sais plus quoi fair avce elle au fond de moi je me dit c est ma mere mes des fois jaimerai partir loin pour plus avoir vraiment afair a elle si quelqun peut maider merci julie","1","1",NULL,"2013-03-30 11:19:36"
"21324","82","46819","1","ils sont beaux !!!","0","1",NULL,"2013-03-30 15:21:31"
"21329","1176","46816","1","Top pour les soirées à la montagne..j'adhère à fond","0","1",NULL,"2013-04-02 12:00:28"
"21330","0","408","1","URGENT REPORTAGE TV NRJ12 : RIVALITE MERE FILLENous voulons vous aiderContactez moi vite au 01 53 84 33 94 ou par email elerale@reservoir-prod.fr","0","1",NULL,"2013-04-02 17:27:46"
"21332","0","46825","1","Warm Bodies est tellement super... J'ai adoré ce film! J'approuve votre point de vue sur vos commentaires. J'aime bien l'originalité du film, par le fait, où, le narrateur parle lui-même, comme s'il était présent à côté de nous dans la salle de cinéma et rigole avec nous.Joli film, à voir et revoir :) !Bisous les Nanas! MelleZouzou :)","0","1",NULL,"2013-04-03 20:20:09"
"21333","0","1050","1","Nos produits alimentaires sont trop chers dans les supermarchés!Une chaine de solidarité fonctionnant par le bouche à oreille sera la solution pour permettre à ceux qui en ont le plus besoin de bénéficier de fortes réductions, voire de la gratuité totale sur leurs courses.Pour que ce club de consommateurs puisse voir le jour d' urgence le 1.05.2013, nous vous demandons d' y adhérer gratuitement (et cela restera TOUJOURS sans frais!).Plus on sera nombreux à l' ouverture, plus le prix de nos courses sera  bas:   http://youtu.be/ia5YurGztZoValable pour la Belgique, le Luxembourg, la France, le Portugal et l' Espagne.Pré inscription: http://france.negociosupermercado.com/?s=ravenz@live.be13 astuces pour mieux faire ses courses: http://entouteserenite.unblog.fr/2007/08/28/bien-gerer-son-budget-10-trucs-pour-mieux-faire-ses-courses/","0","1",NULL,"2013-04-04 17:54:21"
"21336","0","2812","1","ouai...","0","1",NULL,"2013-04-04 20:21:21"
